it_role_group,count
software engineer,3579
project manager (it),2085
data scientist,889
it support specialist,834
business analyst (it),744
engineering manager / tech lead,729
product manager (tech),659
qa engineer,573
network / systems administrator,554
security engineer,539
data analyst,488
cloud engineer,357
devops engineer,348
full stack developer,231
database administrator,225
frontend developer,199
ux / ui designer,198
backend developer,124
machine learning engineer,110
mobile developer,74
